epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.313,2.57266,17.5736,1.11625,0.94073,0.0749,0.51968,0.1845,2.20965,5.49034,1.02693,0.000660066,0.000660066,0.000660066
2,30.7486,2.37903,10.8958,1.08645,0.81375,0.68012,0.69891,0.23358,2.29804,4.33371,1.09242,0.00130046,0.00130046,0.00130046
3,44.2824,2.23502,8.30654,1.04342,0.71068,0.6934,0.73781,0.25313,2.27054,2.574,1.0594,0.00191446,0.00191446,0.00191446
4,57.4785,2.34025,6.93421,1.05088,0.77914,0.63234,0.67956,0.23534,2.2499,2.61796,1.05944,0.0018812,0.0018812,0.0018812
5,70.8509,2.29221,5.69899,1.02364,0.77416,0.71226,0.7599,0.27703,2.16156,2.30226,1.02325,0.0018416,0.0018416,0.0018416
6,84.1129,2.25272,4.63836,1.0489,0.72985,0.67541,0.7018,0.2244,2.24497,2.41069,1.03824,0.001802,0.001802,0.001802
7,97.451,2.2677,4.38897,1.03063,0.78227,0.71698,0.76213,0.26404,2.19023,2.3467,1.03666,0.0017624,0.0017624,0.0017624
8,110.8,2.13545,3.27517,1.01806,0.81417,0.66509,0.77022,0.29132,2.11356,1.31542,1.02175,0.0017228,0.0017228,0.0017228
9,124.161,2.11272,2.7641,1.00141,0.80354,0.67925,0.7678,0.28999,2.14808,1.20312,1.03077,0.0016832,0.0016832,0.0016832
10,137.798,2.12531,2.57323,1.03837,0.79919,0.75472,0.81974,0.2761,2.19658,1.28222,1.03469,0.0016436,0.0016436,0.0016436
11,151.122,2.16648,2.25357,1.01452,0.74861,0.75943,0.77463,0.28668,2.14379,1.18561,1.027,0.001604,0.001604,0.001604
12,164.712,2.17965,2.09712,0.9955,0.79728,0.73113,0.80061,0.28278,2.16629,1.16072,1.02963,0.0015644,0.0015644,0.0015644
13,178.534,2.05432,1.85838,0.99745,0.81724,0.77358,0.83596,0.32531,2.0884,1.18688,1.00706,0.0015248,0.0015248,0.0015248
14,191.791,2.06145,1.77511,0.99439,0.83529,0.69372,0.79908,0.29517,2.14949,1.19059,1.02329,0.0014852,0.0014852,0.0014852
15,205.123,2.11333,1.7222,1.01683,0.87885,0.72642,0.8221,0.31388,2.18504,1.21277,1.03452,0.0014456,0.0014456,0.0014456
16,218.303,2.04024,1.57507,0.99484,0.83867,0.73565,0.8273,0.3024,2.1648,1.14168,1.02905,0.001406,0.001406,0.001406
17,231.717,2.02866,1.53984,0.98708,0.81963,0.73585,0.78594,0.30481,2.15315,1.13963,1.03122,0.0013664,0.0013664,0.0013664
18,245.073,2.01853,1.48048,0.9912,0.83895,0.78629,0.82948,0.30169,2.21449,1.12371,1.02738,0.0013268,0.0013268,0.0013268
19,258.412,2.03187,1.45096,0.99323,0.86873,0.78044,0.8557,0.33713,2.07706,1.1453,1.00227,0.0012872,0.0012872,0.0012872
20,272.147,1.9738,1.39958,0.99322,0.79123,0.82075,0.86081,0.32659,2.12539,1.07876,1.01718,0.0012476,0.0012476,0.0012476
21,285.559,1.97874,1.34358,0.97207,0.8586,0.76887,0.85515,0.33401,2.06899,1.08926,1.00127,0.001208,0.001208,0.001208
22,299.26,1.97058,1.26542,0.99807,0.83433,0.80767,0.84894,0.35808,2.08983,1.15182,1.0083,0.0011684,0.0011684,0.0011684
23,312.529,1.9733,1.24442,0.97718,0.87267,0.77585,0.8344,0.31965,2.07961,1.13337,0.99439,0.0011288,0.0011288,0.0011288
24,326.081,1.96354,1.24169,0.97965,0.82059,0.81985,0.84821,0.34666,2.05082,1.09533,0.9926,0.0010892,0.0010892,0.0010892
25,339.983,1.94708,1.18629,0.97032,0.84608,0.82547,0.86262,0.33342,2.11878,1.07356,1.00271,0.0010496,0.0010496,0.0010496
26,353.146,1.94247,1.15354,0.97133,0.85533,0.78085,0.83167,0.31336,2.07755,1.1051,0.99646,0.00101,0.00101,0.00101
27,366.494,1.98892,1.23444,0.9662,0.8469,0.8066,0.85466,0.3335,2.04053,1.0821,0.98385,0.0009704,0.0009704,0.0009704
28,379.621,1.89938,1.11502,0.97336,0.8446,0.79474,0.84581,0.3287,2.10053,1.08403,0.99505,0.0009308,0.0009308,0.0009308
29,392.928,1.96407,1.17723,0.94948,0.84809,0.82075,0.86585,0.33006,2.10862,1.07386,0.99988,0.0008912,0.0008912,0.0008912
30,406.206,1.8878,1.10274,0.96337,0.86102,0.78774,0.8681,0.33893,2.089,1.1169,0.99243,0.0008516,0.0008516,0.0008516
31,419.413,1.89931,1.09963,0.95363,0.85932,0.79245,0.86738,0.34405,2.10359,1.08327,0.99707,0.000812,0.000812,0.000812
32,432.778,1.8934,1.0752,0.95146,0.81377,0.83019,0.86802,0.34471,2.04611,1.0552,0.9926,0.0007724,0.0007724,0.0007724
33,445.915,1.87343,1.08177,0.94441,0.86477,0.80189,0.87287,0.35712,2.03825,1.02965,0.9789,0.0007328,0.0007328,0.0007328
34,459.286,1.81761,1.05298,0.9308,0.85078,0.80189,0.85186,0.33988,2.0867,1.03391,0.99622,0.0006932,0.0006932,0.0006932
35,472.739,1.84733,1.03981,0.93374,0.84479,0.81132,0.87808,0.34264,2.11234,1.0513,0.99976,0.0006536,0.0006536,0.0006536
36,486.135,1.83589,1.0269,0.92635,0.90546,0.76798,0.8641,0.36923,1.98743,1.03518,0.97469,0.000614,0.000614,0.000614
37,499.381,1.83281,1.02645,0.92913,0.87654,0.82075,0.87934,0.37082,1.97922,1.01981,0.97614,0.0005744,0.0005744,0.0005744
38,512.58,1.85275,1.02661,0.92848,0.85041,0.83132,0.87728,0.36267,2.01393,1.01896,0.97469,0.0005348,0.0005348,0.0005348
39,526.03,1.78122,0.9994,0.92989,0.87119,0.76564,0.85319,0.36164,2.05683,1.05806,0.98493,0.0004952,0.0004952,0.0004952
40,539.537,1.74342,0.96641,0.91932,0.8896,0.7982,0.89028,0.36978,2.00935,1.02946,0.97208,0.0004556,0.0004556,0.0004556
41,554.118,1.74373,0.99468,0.94303,0.89944,0.77358,0.86067,0.36218,2.01231,1.09531,0.97286,0.000416,0.000416,0.000416
42,567.565,1.75281,0.99178,0.95774,0.84035,0.82547,0.87451,0.362,2.01271,1.00902,0.97237,0.0003764,0.0003764,0.0003764
43,580.739,1.71807,1.00301,0.93477,0.84995,0.82075,0.87263,0.35094,2.0168,1.02457,0.97627,0.0003368,0.0003368,0.0003368
44,594.096,1.75732,0.97218,0.95549,0.87754,0.76887,0.8645,0.36418,2.01299,1.02328,0.97289,0.0002972,0.0002972,0.0002972
45,607.263,1.69164,0.9401,0.92705,0.88174,0.7783,0.86851,0.35801,2.04728,1.02428,0.97981,0.0002576,0.0002576,0.0002576
46,621.059,1.70388,0.96549,0.9338,0.87409,0.8066,0.88506,0.35723,2.02641,1.00162,0.97536,0.000218,0.000218,0.000218
47,4855.87,1.68027,0.94053,0.91965,0.87685,0.82547,0.8825,0.36967,2.00249,1.01069,0.97276,0.0001784,0.0001784,0.0001784
48,4869.23,1.64784,0.90576,0.92644,0.85068,0.83019,0.87815,0.36232,2.03128,1.00019,0.97602,0.0001388,0.0001388,0.0001388
49,4882.47,1.67725,0.92623,0.92144,0.86991,0.82547,0.88379,0.35783,2.06124,1.00459,0.97654,9.92e-05,9.92e-05,9.92e-05
50,4895.66,1.63388,0.89071,0.91654,0.87916,0.82364,0.89061,0.37716,2.03243,1.005,0.977,5.96e-05,5.96e-05,5.96e-05
